Category 	 ID 	 Algorithm 	 idRun 	 HV 	 Time
C1	_2_2	bd1	25	0.41093	2884.99
C1	_2_2	bd1	26	0.66834	2890.66
C1	_2_2	bd1	27	0.0	2882.03
C1	_2_2	bd1	28	0.0	2888.25
C1	_2_2	bd1	29	1.23905	2539.76
C1	_2_2	bd1	30	1.22766	2557.5
C1	_2_2	bd2	1	0.0	2898.53
C1	_2_2	bd2	2	0.30125	2893.79
C1	_2_2	bd2	3	0.64868	2881.17
C1	_2_2	bd2	4	0.02239	2890.15
C1	_2_2	bd2	5	0.91907	2844.2
C1	_2_2	bd2	6	0.20893	2880.04
C1	_2_2	bd2	7	0.38004	2888.32
C1	_2_2	bd2	8	0.0	2881.51
C1	_2_2	bd2	9	0.21807	2881.61
C1	_2_2	bd2	10	0.0	2882.37
C1	_2_2	bd2	11	0.0	2906.15
C1	_2_2	bd2	12	0.82421	2780.06
C1	_2_2	bd2	13	0.27049	2880.07
C1	_2_2	bd2	14	0.46876	2886.94
C1	_2_2	bd2	15	0.0	2948.89
C1	_2_2	bd2	16	0.0	2887.18
C1	_2_2	bd2	17	0.05705	2883.35
C1	_2_2	bd2	18	0.10316	2880.49
C1	_2_2	bd2	19	0.45834	2883.81
C1	_2_2	bd2	20	0.13017	2882.68
C1	_2_2	bd2	21	0.16556	2927.37
C1	_2_2	bd2	22	0.47712	2880.04
C1	_2_2	bd2	23	0.85685	2326.45
C1	_2_2	bd2	24	0.0	2882.02
C1	_2_2	bd2	25	0.24468	2880.02
C1	_2_2	bd2	26	0.66722	2886.64
C1	_2_2	bd2	27	0.67272	2880.15
C1	_2_2	bd2	28	0.0729	2880.75
C1	_2_2	bd2	29	0.45014	2880.19
C1	_2_2	bd2	30	0.33564	2890.54
C1	_2_2	bd3	1	0.27393	2880.07
C1	_2_2	bd3	2	0.04276	2892.45
C1	_2_2	bd3	3	0.45038	2881.86
C1	_2_2	bd3	4	0.54963	2881.01
C1	_2_2	bd3	5	0.0	2923.3
C1	_2_2	bd3	6	0.0	2890.27
C1	_2_2	bd3	7	0.8059	2843.67
C1	_2_2	bd3	8	0.0	2937.01
C1	_2_2	bd3	9	0.27493	2892.56
C1	_2_2	bd3	10	0.0	2888.17
C1	_2_2	bd3	11	0.0	2933.66
C1	_2_2	bd3	12	0.02618	2934.59
C1	_2_2	bd3	13	0.0	2888.0
C1	_2_2	bd3	14	0.0	2894.56
C1	_2_2	bd3	15	0.0	2880.06
C1	_2_2	bd3	16	0.0	2913.24
C1	_2_2	bd3	17	0.0	2885.37
C1	_2_2	bd3	18	0.68613	2880.09
C1	_2_2	bd3	19	0.34785	2895.23
C1	_2_2	bd3	20	0.02267	2881.52
C1	_2_2	bd3	21	0.0	2967.57
C1	_2_2	bd3	22	0.58008	2902.91
C1	_2_2	bd3	23	0.5237	2888.27
C1	_2_2	bd3	24	0.754	2884.42
C1	_2_2	bd3	25	0.0	2917.9
C1	_2_2	bd3	26	0.09283	2880.31
C1	_2_2	bd3	27	0.34845	2893.14
C1	_2_2	bd3	28	0.0	2936.1
C1	_2_2	bd3	29	0.51186	2880.84
C1	_2_2	bd3	30	0.0	2882.03
C1	_2_2	fbd1	1	1.18524	910.36
C1	_2_2	fbd1	2	1.11731	922.81
C1	_2_2	fbd1	3	1.22987	1120.36
C1	_2_2	fbd1	4	0.99068	1055.36
C1	_2_2	fbd1	5	1.10919	1256.78
C1	_2_2	fbd1	6	1.23797	843.48
C1	_2_2	fbd1	7	1.18673	855.26
C1	_2_2	fbd1	8	1.06028	1269.41
C1	_2_2	fbd1	9	1.24547	903.24
C1	_2_2	fbd1	10	1.03331	708.23
C1	_2_2	fbd1	11	1.08009	982.92
C1	_2_2	fbd1	12	0.90238	1185.66
C1	_2_2	fbd1	13	1.22258	889.15
C1	_2_2	fbd1	14	1.02037	1003.2
C1	_2_2	fbd1	15	1.0884	840.11
C1	_2_2	fbd1	16	1.22491	786.09
C1	_2_2	fbd1	17	1.10904	876.02
C1	_2_2	fbd1	18	1.20496	1061.36
C1	_2_2	fbd1	19	1.08837	931.37
C1	_2_2	fbd1	20	1.2433	667.4
C1	_2_2	fbd1	21	1.24276	925.99
C1	_2_2	fbd1	22	1.08706	968.01
C1	_2_2	fbd1	23	1.03126	1144.29
C1	_2_2	fbd1	24	0.98741	1049.86
C1	_2_2	fbd1	25	1.24728	801.86
C1	_2_2	fbd1	26	1.24814	999.71
C1	_2_2	fbd1	27	1.09014	1092.31
C1	_2_2	fbd1	28	0.73898	2882.12
C1	_2_2	fbd1	29	1.21721	745.99
C1	_2_2	fbd1	30	1.09757	838.03
C1	_2_2	fbd2	1	1.24334	880.95
C1	_2_2	fbd2	2	1.24486	1283.92
C1	_2_2	fbd2	3	1.24467	981.08
C1	_2_2	fbd2	4	1.12096	1379.11
C1	_2_2	fbd2	5	1.20754	828.2
C1	_2_2	fbd2	6	1.2393	1246.07
C1	_2_2	fbd2	7	0.95182	1042.24
C1	_2_2	fbd2	8	0.94335	989.15
C1	_2_2	fbd2	9	1.01919	1006.35
C1	_2_2	fbd2	10	1.24237	1061.97
C1	_2_2	fbd2	11	1.09112	1795.52
C1	_2_2	fbd2	12	1.0184	1283.27
C1	_2_2	fbd2	13	1.08322	1882.95
C1	_2_2	fbd2	14	0.9749	1595.44
C1	_2_2	fbd2	15	1.09386	1528.06
C1	_2_2	fbd2	16	1.199	945.53
C1	_2_2	fbd2	17	1.23811	1209.95
C1	_2_2	fbd2	18	0.80317	2729.29
C1	_2_2	fbd2	19	0.98208	1062.09
C1	_2_2	fbd2	20	1.0199	1004.2
C1	_2_2	fbd2	21	1.2422	829.62
C1	_2_2	fbd2	22	1.16971	1671.27
C1	_2_2	fbd2	23	1.24765	871.95
C1	_2_2	fbd2	24	1.24538	994.6
C1	_2_2	fbd2	25	1.24478	1009.2
C1	_2_2	fbd2	26	0.99225	1131.53
C1	_2_2	fbd2	27	1.20187	980.64
C1	_2_2	fbd2	28	1.2291	1683.18
C1	_2_2	fbd2	29	1.03476	981.77
C1	_2_2	fbd2	30	1.08458	1161.15
C1	_2_2	fbd3	1	1.00525	974.47
C1	_2_2	fbd3	2	1.21833	1218.43
C1	_2_2	fbd3	3	1.24651	794.61
C1	_2_2	fbd3	4	1.08678	1233.68
C1	_2_2	fbd3	5	1.19962	878.03
C1	_2_2	fbd3	6	1.2457	1104.71
C1	_2_2	fbd3	7	1.21892	1909.29
C1	_2_2	fbd3	8	0.98879	1308.46
C1	_2_2	fbd3	9	0.94572	1040.47
C1	_2_2	fbd3	10	1.03983	893.46
C1	_2_2	fbd3	11	1.03698	1050.95
C1	_2_2	fbd3	12	1.19959	1284.77
C1	_2_2	fbd3	13	1.24757	1045.18
C1	_2_2	fbd3	14	1.2501	1020.82
C1	_2_2	fbd3	15	1.18859	1041.71
C1	_2_2	fbd3	16	0.99892	890.79
C1	_2_2	fbd3	17	1.16871	727.81
C1	_2_2	fbd3	18	0.9448	923.87
C1	_2_2	fbd3	19	1.24188	1264.74
C1	_2_2	fbd3	20	0.97751	1064.14
C1	_2_2	fbd3	21	1.24368	709.57
