Category 	 ID 	 Algorithm 	 idRun 	 HV 	 Time
C1	04	fbd1	4	0.59106	720.05
C1	04	fbd1	5	0.90229	217.75
C1	04	fbd1	6	0.66866	720.02
C1	04	fbd1	7	0.9857	244.01
C1	04	fbd1	8	0.56377	720.02
C1	04	fbd1	9	0.90748	685.45
C1	04	fbd1	10	0.82946	262.76
C1	04	fbd1	11	0.72497	720.21
C1	04	fbd1	12	0.42089	720.05
C1	04	fbd1	13	0.99108	297.81
C1	04	fbd1	14	0.82737	245.34
C1	04	fbd1	15	0.98768	664.18
C1	04	fbd1	16	0.26943	720.65
C1	04	fbd1	17	0.75542	720.8
C1	04	fbd1	18	0.98768	209.51
C1	04	fbd1	19	0.97843	277.11
C1	04	fbd1	20	0.97753	296.03
C1	04	fbd1	21	0.80975	393.35
C1	04	fbd1	22	0.90242	202.21
C1	04	fbd1	23	0.75602	720.77
C1	04	fbd1	24	0.84677	289.07
C1	04	fbd1	25	0.80975	556.17
C1	04	fbd1	26	0.81512	214.53
C1	04	fbd1	27	0.99108	190.9
C1	04	fbd1	28	0.89572	305.09
C1	04	fbd1	29	0.99108	303.84
C1	04	fbd1	30	0.52419	720.55
C1	04	fbd2	1	0.99108	203.64
C1	04	fbd2	2	0.9817	182.01
C1	04	fbd2	3	0.99108	245.78
C1	04	fbd2	4	0.79782	720.24
C1	04	fbd2	5	0.88797	427.02
C1	04	fbd2	6	0.96618	297.44
C1	04	fbd2	7	0.97753	199.13
C1	04	fbd2	8	0.84062	327.62
C1	04	fbd2	9	0.78826	720.4
C1	04	fbd2	10	0.98768	240.52
C1	04	fbd2	11	0.61452	720.39
C1	04	fbd2	12	0.59481	720.1
C1	04	fbd2	13	0.9851	256.27
C1	04	fbd2	14	0.81214	246.6
C1	04	fbd2	15	0.97753	239.22
C1	04	fbd2	16	0.98768	235.84
C1	04	fbd2	17	0.83559	280.47
C1	04	fbd2	18	0.9248	420.89
C1	04	fbd2	19	0.81572	240.25
C1	04	fbd2	20	0.98768	252.18
C1	04	fbd2	21	0.98768	206.26
C1	04	fbd2	22	0.95603	184.19
C1	04	fbd2	23	0.97633	330.0
C1	04	fbd2	24	0.98768	191.14
C1	04	fbd2	25	0.99108	241.52
C1	04	fbd2	26	0.84677	262.69
C1	04	fbd2	27	0.99108	222.14
C1	04	fbd2	28	0.89793	231.79
C1	04	fbd2	29	0.84677	217.77
C1	04	fbd2	30	0.91215	229.59
C1	04	fbd3	1	0.95603	353.41
C1	04	fbd3	2	0.97753	235.52
